date,product,quantity_sold,price,total_sales
2024-01-20,Tulip Bundle,3,399,1197
2024-01-20,Mixed Bouquet,9,699,6291
2024-01-20,Orchid Stem,6,250,1500
2024-01-20,Baby’s Breath,6,120,720
2024-01-21,Red Roses Bouquet,11,899,9889
2024-01-21,Sunflowers,9,150,1350
2024-01-21,Tulip Bundle,6,399,2394
2024-01-21,Mixed Bouquet,12,699,8388
2024-01-21,Orchid Stem,7,250,1750
2024-01-21,Baby’s Breath,14,120,1680
2024-01-22,Red Roses Bouquet,12,899,10788
2024-01-22,Sunflowers,9,150,1350
2024-01-22,Tulip Bundle,2,399,798
2024-01-22,Mixed Bouquet,12,699,8388
2024-01-22,Orchid Stem,2,250,500
2024-01-22,Baby’s Breath,7,120,840
2024-01-23,Red Roses Bouquet,14,899,12586
2024-01-23,Sunflowers,4,150,600
2024-01-23,Tulip Bundle,15,399,5985
2024-01-23,Mixed Bouquet,5,699,3495
2024-01-23,Orchid Stem,7,250,1750
2024-01-23,Baby’s Breath,11,120,1320
2024-01-24,Red Roses Bouquet,9,899,8091
2024-01-24,Sunflowers,9,150,1350
2024-01-24,Tulip Bundle,13,399,5187
2024-01-24,Mixed Bouquet,12,699,8388
2024-01-24,Orchid Stem,3,250,750
2024-01-24,Baby’s Breath,3,120,360
2024-01-25,Red Roses Bouquet,2,899,1798
2024-01-25,Sunflowers,4,150,600
2024-01-25,Tulip Bundle,9,399,3591
2024-01-25,Mixed Bouquet,3,699,2097
2024-01-25,Orchid Stem,4,250,1000
2024-01-25,Baby’s Breath,8,120,960
2024-01-26,Red Roses Bouquet,14,899,12586
2024-01-26,Sunflowers,9,150,1350
2024-01-26,Tulip Bundle,13,399,5187
2024-01-26,Mixed Bouquet,11,699,7689
2024-01-26,Orchid Stem,15,250,3750
2024-01-26,Baby’s Breath,12,120,1440
2024-01-27,Red Roses Bouquet,14,899,12586
2024-01-27,Sunflowers,6,150,900
2024-01-27,Tulip Bundle,10,399,3990
2024-01-27,Mixed Bouquet,9,699,6291
2024-01-27,Orchid Stem,10,250,2500
2024-01-27,Baby’s Breath,8,120,960
2024-01-28,Red Roses Bouquet,12,899,10788
2024-01-28,Sunflowers,8,150,1200
2024-01-28,Tulip Bundle,12,399,4788
2024-01-28,Mixed Bouquet,7,699,4893
2024-01-28,Orchid Stem,13,250,3250
2024-01-28,Baby’s Breath,11,120,1320
2024-01-29,Red Roses Bouquet,9,899,8091
2024-01-29,Sunflowers,8,150,1200
2024-01-29,Tulip Bundle,4,399,1596
2024-01-29,Mixed Bouquet,8,699,5592
2024-01-29,Orchid Stem,9,250,2250
2024-01-29,Baby’s Breath,11,120,1320
2024-01-30,Red Roses Bouquet,11,899,9889
2024-01-30,Sunflowers,16,150,2400
2024-01-30,Tulip Bundle,8,399,3192
2024-01-30,Mixed Bouquet,4,699,2796
2024-01-30,Orchid Stem,3,250,750
2024-01-30,Baby’s Breath,2,120,240
2024-01-31,Red Roses Bouquet,6,899,5394
2024-01-31,Sunflowers,9,150,1350
2024-01-31,Tulip Bundle,3,399,1197
2024-01-31,Mixed Bouquet,8,699,5592
2024-01-31,Orchid Stem,6,250,1500
2024-01-31,Baby’s Breath,7,120,840
2024-02-01,Red Roses Bouquet,9,899,8091
2024-02-01,Sunflowers,15,150,2250
2024-02-01,Tulip Bundle,18,399,7182
2024-02-01,Mixed Bouquet,25,699,17475
2024-02-01,Orchid Stem,9,250,2250
2024-02-01,Baby’s Breath,32,120,3840
2024-02-02,Red Roses Bouquet,22,899,19778
2024-02-02,Sunflowers,31,150,4650
2024-02-02,Tulip Bundle,26,399,10374
2024-02-02,Mixed Bouquet,14,699,9786
2024-02-02,Orchid Stem,28,250,7000
2024-02-02,Baby’s Breath,28,120,3360
2024-02-03,Red Roses Bouquet,10,899,8990
2024-02-03,Sunflowers,36,150,5400
2024-02-03,Tulip Bundle,19,399,7581
2024-02-03,Mixed Bouquet,26,699,18174
2024-02-03,Orchid Stem,27,250,6750
2024-02-03,Baby’s Breath,37,120,4440
2024-02-04,Red Roses Bouquet,17,899,15283
2024-02-04,Sunflowers,24,150,3600
2024-02-04,Tulip Bundle,20,399,7980
2024-02-04,Mixed Bouquet,10,699,6990
2024-02-04,Orchid Stem,29,250,7250
2024-02-04,Baby’s Breath,21,120,2520
2024-02-05,Red Roses Bouquet,36,899,32364
2024-02-05,Sunflowers,25,150,3750
2024-02-05,Tulip Bundle,7,399,2793
2024-02-05,Mixed Bouquet,16,699,11184
2024-02-05,Orchid Stem,24,250,6000
2024-02-05,Baby’s Breath,21,120,2520
2024-02-06,Red Roses Bouquet,8,899,7192
2024-02-06,Sunflowers,31,150,4650
2024-02-06,Tulip Bundle,18,399,7182
2024-02-06,Mixed Bouquet,7,699,4893
2024-02-06,Orchid Stem,12,250,3000
2024-02-06,Baby’s Breath,11,120,1320
2024-02-07,Red Roses Bouquet,14,899,12586
2024-02-07,Sunflowers,7,150,1050
2024-02-07,Tulip Bundle,10,399,3990
2024-02-07,Mixed Bouquet,29,699,20271
2024-02-07,Orchid Stem,14,250,3500
2024-02-07,Baby’s Breath,30,120,3600
2024-02-08,Red Roses Bouquet,32,899,28768
2024-02-08,Sunflowers,13,150,1950
2024-02-08,Tulip Bundle,32,399,12768
2024-02-08,Mixed Bouquet,11,699,7689
2024-02-08,Orchid Stem,13,250,3250
2024-02-08,Baby’s Breath,37,120,4440
2024-02-09,Red Roses Bouquet,21,899,18879
2024-02-09,Sunflowers,26,150,3900
2024-02-09,Tulip Bundle,19,399,7581
2024-02-09,Mixed Bouquet,13,699,9087
2024-02-09,Orchid Stem,27,250,6750
2024-02-09,Baby’s Breath,25,120,3000
2024-02-10,Red Roses Bouquet,8,899,7192
2024-02-10,Sunflowers,13,150,1950
2024-02-10,Tulip Bundle,13,399,5187
2024-02-10,Mixed Bouquet,32,699,22368
2024-02-10,Orchid Stem,16,250,4000
2024-02-10,Baby’s Breath,10,120,1200
2024-02-11,Red Roses Bouquet,21,899,18879
2024-02-11,Sunflowers,21,150,3150
2024-02-11,Tulip Bundle,27,399,10773
2024-02-11,Mixed Bouquet,34,699,23766
2024-02-11,Orchid Stem,25,250,6250
2024-02-11,Baby’s Breath,9,120,1080
2024-02-12,Red Roses Bouquet,32,899,28768
2024-02-12,Sunflowers,8,150,1200
2024-02-12,Tulip Bundle,9,399,3591
2024-02-12,Mixed Bouquet,6,699,4194
2024-02-12,Orchid Stem,12,250,3000
2024-02-12,Baby’s Breath,12,120,1440
2024-02-13,Red Roses Bouquet,22,899,19778
2024-02-13,Sunflowers,24,150,3600
2024-02-13,Tulip Bundle,21,399,8379
2024-02-13,Mixed Bouquet,28,699,19572
2024-02-13,Orchid Stem,24,250,6000
2024-02-13,Baby’s Breath,17,120,2040
2024-02-14,Red Roses Bouquet,11,899,9889
2024-02-14,Sunflowers,20,150,3000
2024-02-14,Tulip Bundle,25,399,9975
2024-02-14,Mixed Bouquet,14,699,9786
2024-02-14,Orchid Stem,36,250,9000
2024-02-14,Baby’s Breath,12,120,1440
2024-02-15,Red Roses Bouquet,35,899,31465
2024-02-15,Sunflowers,23,150,3450
2024-02-15,Tulip Bundle,8,399,3192
2024-02-15,Mixed Bouquet,13,699,9087
2024-02-15,Orchid Stem,29,250,7250
2024-02-15,Baby’s Breath,8,120,960
2024-02-16,Red Roses Bouquet,22,899,19778
2024-02-16,Sunflowers,25,150,3750
2024-02-16,Tulip Bundle,11,399,4389
2024-02-16,Mixed Bouquet,27,699,18873
2024-02-16,Orchid Stem,32,250,8000
2024-02-16,Baby’s Breath,31,120,3720
2024-02-17,Red Roses Bouquet,22,899,19778
2024-02-17,Sunflowers,28,150,4200
2024-02-17,Tulip Bundle,31,399,12369
2024-02-17,Mixed Bouquet,15,699,10485
2024-02-17,Orchid Stem,31,250,7750
2024-02-17,Baby’s Breath,11,120,1320
2024-02-18,Red Roses Bouquet,23,899,20677
2024-02-18,Sunflowers,17,150,2550
2024-02-18,Tulip Bundle,17,399,6783
2024-02-18,Mixed Bouquet,22,699,15378
2024-02-18,Orchid Stem,21,250,5250
2024-02-18,Baby’s Breath,19,120,2280
2024-02-19,Red Roses Bouquet,35,899,31465
2024-02-19,Sunflowers,18,150,2700
2024-02-19,Tulip Bundle,11,399,4389
2024-02-19,Mixed Bouquet,19,699,13281
2024-02-19,Orchid Stem,15,250,3750
2024-02-19,Baby’s Breath,24,120,2880
2024-02-20,Red Roses Bouquet,33,899,29667
2024-02-20,Sunflowers,27,150,4050
2024-02-20,Tulip Bundle,33,399,13167
2024-02-20,Mixed Bouquet,37,699,25863
2024-02-20,Orchid Stem,21,250,5250
2024-02-20,Baby’s Breath,17,120,2040
2024-02-21,Red Roses Bouquet,15,899,13485
2024-02-21,Sunflowers,13,150,1950
2024-02-21,Tulip Bundle,7,399,2793
2024-02-21,Mixed Bouquet,16,699,11184
2024-02-21,Orchid Stem,22,250,5500
2024-02-21,Baby’s Breath,32,120,3840
2024-02-22,Red Roses Bouquet,20,899,17980
2024-02-22,Sunflowers,26,150,3900
2024-02-22,Tulip Bundle,27,399,10773
2024-02-22,Mixed Bouquet,16,699,11184
2024-02-22,Orchid Stem,18,250,4500
2024-02-22,Baby’s Breath,20,120,2400
2024-02-23,Red Roses Bouquet,21,899,18879
2024-02-23,Sunflowers,6,150,900
2024-02-23,Tulip Bundle,23,399,9177
2024-02-23,Mixed Bouquet,20,699,13980
2024-02-23,Orchid Stem,36,250,9000
2024-02-23,Baby’s Breath,23,120,2760
2024-02-24,Red Roses Bouquet,10,899,8990
2024-02-24,Sunflowers,10,150,1500
2024-02-24,Tulip Bundle,18,399,7182
2024-02-24,Mixed Bouquet,12,699,8388
2024-02-24,Orchid Stem,27,250,6750
2024-02-24,Baby’s Breath,16,120,1920
2024-02-25,Red Roses Bouquet,17,899,15283
2024-02-25,Sunflowers,14,150,2100
2024-02-25,Tulip Bundle,19,399,7581
2024-02-25,Mixed Bouquet,19,699,13281
2024-02-25,Orchid Stem,28,250,7000
2024-02-25,Baby’s Breath,20,120,2400
2024-02-26,Red Roses Bouquet,31,899,27869
2024-02-26,Sunflowers,27,150,4050
2024-02-26,Tulip Bundle,25,399,9975
2024-02-26,Mixed Bouquet,28,699,19572
2024-02-26,Orchid Stem,5,250,1250
2024-02-26,Baby’s Breath,5,120,600
2024-02-27,Red Roses Bouquet,19,899,17081
2024-02-27,Sunflowers,28,150,4200
2024-02-27,Tulip Bundle,11,399,4389
2024-02-27,Mixed Bouquet,10,699,6990
2024-02-27,Orchid Stem,5,250,1250
2024-02-27,Baby’s Breath,27,120,3240
2024-02-28,Red Roses Bouquet,22,899,19778
2024-02-28,Sunflowers,19,150,2850
2024-02-28,Tulip Bundle,33,399,13167
2024-02-28,Mixed Bouquet,25,699,17475
2024-02-28,Orchid Stem,8,250,2000
2024-02-28,Baby’s Breath,26,120,3120
2024-02-29,Red Roses Bouquet,23,899,20677
2024-02-29,Sunflowers,28,150,4200
2024-02-29,Tulip Bundle,23,399,9177
2024-02-29,Mixed Bouquet,11,699,7689
2024-02-29,Orchid Stem,22,250,5500
2024-02-29,Baby’s Breath,19,120,2280
2024-03-01,Red Roses Bouquet,1,899,899
2024-03-01,Sunflowers,5,150,750
2024-03-01,Tulip Bundle,14,399,5586
2024-03-01,Mixed Bouquet,9,699,6291
2024-03-01,Orchid Stem,15,250,3750
2024-03-01,Baby’s Breath,9,120,1080
2024-03-02,Red Roses Bouquet,4,899,3596
2024-03-02,Sunflowers,6,150,900
2024-03-02,Tulip Bundle,11,399,4389
2024-03-02,Mixed Bouquet,14,699,9786
2024-03-02,Orchid Stem,8,250,2000
2024-03-02,Baby’s Breath,9,120,1080
2024-03-03,Red Roses Bouquet,12,899,10788
2024-03-03,Sunflowers,9,150,1350
2024-03-03,Tulip Bundle,4,399,1596
2024-03-03,Mixed Bouquet,6,699,4194
2024-03-03,Orchid Stem,2,250,500
2024-03-03,Baby’s Breath,7,120,840
2024-03-04,Red Roses Bouquet,2,899,1798
2024-03-04,Sunflowers,13,150,1950
2024-03-04,Tulip Bundle,13,399,5187
2024-03-04,Mixed Bouquet,6,699,4194
2024-03-04,Orchid Stem,12,250,3000
2024-03-04,Baby’s Breath,4,120,480
2024-03-05,Red Roses Bouquet,3,899,2697
2024-03-05,Sunflowers,13,150,1950
2024-03-05,Tulip Bundle,6,399,2394
2024-03-05,Mixed Bouquet,11,699,7689
2024-03-05,Orchid Stem,14,250,3500
2024-03-05,Baby’s Breath,6,120,720
2024-03-06,Red Roses Bouquet,8,899,7192
2024-03-06,Sunflowers,11,150,1650
2024-03-06,Tulip Bundle,10,399,3990
2024-03-06,Mixed Bouquet,15,699,10485
2024-03-06,Orchid Stem,15,250,3750
2024-03-06,Baby’s Breath,5,120,600
2024-03-07,Red Roses Bouquet,14,899,12586
2024-03-07,Sunflowers,7,150,1050
2024-03-07,Tulip Bundle,14,399,5586
2024-03-07,Mixed Bouquet,7,699,4893
2024-03-07,Orchid Stem,11,250,2750
2024-03-07,Baby’s Breath,6,120,720
2024-03-08,Red Roses Bouquet,12,899,10788
2024-03-08,Sunflowers,8,150,1200
2024-03-08,Tulip Bundle,8,399,3192
2024-03-08,Mixed Bouquet,11,699,7689
2024-03-08,Orchid Stem,10,250,2500
2024-03-08,Baby’s Breath,5,120,600
2024-03-09,Red Roses Bouquet,11,899,9889
2024-03-09,Sunflowers,2,150,300
2024-03-09,Tulip Bundle,9,399,3591
2024-03-09,Mixed Bouquet,14,699,9786
2024-03-09,Orchid Stem,4,250,1000
2024-03-09,Baby’s Breath,5,120,600
2024-03-10,Red Roses Bouquet,13,899,11687
2024-03-10,Sunflowers,12,150,1800
2024-03-10,Tulip Bundle,6,399,2394
2024-03-10,Mixed Bouquet,12,699,8388
2024-03-10,Orchid Stem,12,250,3000
2024-03-10,Baby’s Breath,4,120,480
2024-03-11,Red Roses Bouquet,13,899,11687
2024-03-11,Sunflowers,11,150,1650
2024-03-11,Tulip Bundle,5,399,1995
2024-03-11,Mixed Bouquet,8,699,5592
2024-03-11,Orchid Stem,10,250,2500
2024-03-11,Baby’s Breath,4,120,480
2024-03-12,Red Roses Bouquet,4,899,3596
2024-03-12,Sunflowers,6,150,900
2024-03-12,Tulip Bundle,4,399,1596
2024-03-12,Mixed Bouquet,6,699,4194
2024-03-12,Orchid Stem,8,250,2000
2024-03-12,Baby’s Breath,9,120,1080
2024-03-13,Red Roses Bouquet,7,899,6293
2024-03-13,Sunflowers,13,150,1950
2024-03-13,Tulip Bundle,11,399,4389
2024-03-13,Mixed Bouquet,3,699,2097
2024-03-13,Orchid Stem,14,250,3500
2024-03-13,Baby’s Breath,5,120,600
2024-03-14,Red Roses Bouquet,14,899,12586
2024-03-14,Sunflowers,12,150,1800
2024-03-14,Tulip Bundle,11,399,4389
2024-03-14,Mixed Bouquet,5,699,3495
2024-03-14,Orchid Stem,11,250,2750
2024-03-14,Baby’s Breath,7,120,840
2024-03-15,Red Roses Bouquet,14,899,12586
2024-03-15,Sunflowers,5,150,750
2024-03-15,Tulip Bundle,13,399,5187
2024-03-15,Mixed Bouquet,8,699,5592
2024-03-15,Orchid Stem,6,250,1500
2024-03-15,Baby’s Breath,6,120,720
2024-03-16,Red Roses Bouquet,14,899,12586
2024-03-16,Sunflowers,7,150,1050
2024-03-16,Tulip Bundle,3,399,1197
2024-03-16,Mixed Bouquet,6,699,4194
2024-03-16,Orchid Stem,5,250,1250
2024-03-16,Baby’s Breath,9,120,1080
2024-03-17,Red Roses Bouquet,7,899,6293
2024-03-17,Sunflowers,6,150,900
2024-03-17,Tulip Bundle,6,399,2394
2024-03-17,Mixed Bouquet,3,699,2097
2024-03-17,Orchid Stem,9,250,2250
2024-03-17,Baby’s Breath,11,120,1320
2024-03-18,Red Roses Bouquet,12,899,10788
2024-03-18,Sunflowers,10,150,1500
2024-03-18,Tulip Bundle,14,399,5586
2024-03-18,Mixed Bouquet,4,699,2796
2024-03-18,Orchid Stem,8,250,2000
2024-03-18,Baby’s Breath,4,120,480
2024-03-19,Red Roses Bouquet,10,899,8990
2024-03-19,Sunflowers,4,150,600
2024-03-19,Tulip Bundle,12,399,4788
2024-03-19,Mixed Bouquet,9,699,6291
2024-03-19,Orchid Stem,15,250,3750
2024-03-19,Baby’s Breath,5,120,600
2024-03-20,Red Roses Bouquet,11,899,9889
2024-03-20,Sunflowers,10,150,1500
2024-03-20,Tulip Bundle,5,399,1995
2024-03-20,Mixed Bouquet,1,699,699
2024-03-20,Orchid Stem,5,250,1250
2024-03-20,Baby’s Breath,5,120,600
2024-03-21,Red Roses Bouquet,9,899,8091
2024-03-21,Sunflowers,15,150,2250
2024-03-21,Tulip Bundle,10,399,3990
2024-03-21,Mixed Bouquet,13,699,9087
2024-03-21,Orchid Stem,13,250,3250
2024-03-21,Baby’s Breath,14,120,1680
2024-03-22,Red Roses Bouquet,15,899,13485
2024-03-22,Sunflowers,3,150,450
2024-03-22,Tulip Bundle,9,399,3591
2024-03-22,Mixed Bouquet,11,699,7689
2024-03-22,Orchid Stem,7,250,1750
2024-03-22,Baby’s Breath,10,120,1200
2024-03-23,Red Roses Bouquet,4,899,3596
2024-03-23,Sunflowers,7,150,1050
2024-03-23,Tulip Bundle,11,399,4389
2024-03-23,Mixed Bouquet,13,699,9087
2024-03-23,Orchid Stem,11,250,2750
2024-03-23,Baby’s Breath,12,120,1440
2024-03-24,Red Roses Bouquet,15,899,13485
2024-03-24,Sunflowers,5,150,750
2024-03-24,Tulip Bundle,4,399,1596
2024-03-24,Mixed Bouquet,2,699,1398
2024-03-24,Orchid Stem,7,250,1750
2024-03-24,Baby’s Breath,13,120,1560
2024-03-25,Red Roses Bouquet,12,899,10788
2024-03-25,Sunflowers,13,150,1950
2024-03-25,Tulip Bundle,4,399,1596
2024-03-25,Mixed Bouquet,3,699,2097
2024-03-25,Orchid Stem,10,250,2500
2024-03-25,Baby’s Breath,8,120,960
2024-03-26,Red Roses Bouquet,12,899,10788
2024-03-26,Sunflowers,3,150,450
2024-03-26,Tulip Bundle,6,399,2394
2024-03-26,Mixed Bouquet,11,699,7689
2024-03-26,Orchid Stem,11,250,2750
2024-03-26,Baby’s Breath,11,120,1320
2024-03-27,Red Roses Bouquet,10,899,8990
2024-03-27,Sunflowers,9,150,1350
2024-03-27,Tulip Bundle,3,399,1197
2024-03-27,Mixed Bouquet,5,699,3495
2024-03-27,Orchid Stem,2,250,500
2024-03-27,Baby’s Breath,10,120,1200
2024-03-28,Red Roses Bouquet,5,899,4495
2024-03-28,Sunflowers,11,150,1650
2024-03-28,Tulip Bundle,5,399,1995
2024-03-28,Mixed Bouquet,6,699,4194
2024-03-28,Orchid Stem,4,250,1000
2024-03-28,Baby’s Breath,7,120,840
2024-03-29,Red Roses Bouquet,13,899,11687
2024-03-29,Sunflowers,12,150,1800
2024-03-29,Tulip Bundle,7,399,2793
2024-03-29,Mixed Bouquet,6,699,4194
2024-03-29,Orchid Stem,9,250,2250
2024-03-29,Baby’s Breath,7,120,840
2024-03-30,Red Roses Bouquet,8,899,7192
2024-03-30,Sunflowers,13,150,1950
2024-03-30,Tulip Bundle,5,399,1995
2024-03-30,Mixed Bouquet,11,699,7689
2024-03-30,Orchid Stem,8,250,2000
2024-03-30,Baby’s Breath,7,120,840
2024-03-31,Red Roses Bouquet,13,899,11687
2024-03-31,Sunflowers,10,150,1500
2024-03-31,Tulip Bundle,12,399,4788
2024-03-31,Mixed Bouquet,7,699,4893
2024-03-31,Orchid Stem,15,250,3750
2024-03-31,Baby’s Breath,7,120,840
2024-04-01,Red Roses Bouquet,9,899,8091
2024-04-01,Sunflowers,7,150,1050
2024-04-01,Tulip Bundle,13,399,5187
2024-04-01,Mixed Bouquet,16,699,11184
2024-04-01,Orchid Stem,7,250,1750
2024-04-01,Baby’s Breath,4,120,480
2024-04-02,Red Roses Bouquet,9,899,8091
2024-04-02,Sunflowers,13,150,1950
2024-04-02,Tulip Bundle,8,399,3192
2024-04-02,Mixed Bouquet,13,699,9087
2024-04-02,Orchid Stem,9,250,2250
2024-04-02,Baby’s Breath,11,120,1320
2024-04-03,Red Roses Bouquet,3,899,2697
2024-04-03,Sunflowers,9,150,1350
2024-04-03,Tulip Bundle,5,399,1995
2024-04-03,Mixed Bouquet,5,699,3495
2024-04-03,Orchid Stem,9,250,2250
2024-04-03,Baby’s Breath,11,120,1320
2024-04-04,Red Roses Bouquet,4,899,3596
2024-04-04,Sunflowers,7,150,1050
2024-04-04,Tulip Bundle,3,399,1197
2024-04-04,Mixed Bouquet,14,699,9786
2024-04-04,Orchid Stem,12,250,3000
2024-04-04,Baby’s Breath,16,120,1920
2024-04-05,Red Roses Bouquet,9,899,8091
2024-04-05,Sunflowers,6,150,900
2024-04-05,Tulip Bundle,9,399,3591
2024-04-05,Mixed Bouquet,9,699,6291
2024-04-05,Orchid Stem,9,250,2250
2024-04-05,Baby’s Breath,1,120,120
2024-04-06,Red Roses Bouquet,7,899,6293
2024-04-06,Sunflowers,9,150,1350
2024-04-06,Tulip Bundle,6,399,2394
2024-04-06,Mixed Bouquet,9,699,6291
2024-04-06,Orchid Stem,14,250,3500
2024-04-06,Baby’s Breath,5,120,600
2024-04-07,Red Roses Bouquet,8,899,7192
2024-04-07,Sunflowers,11,150,1650
2024-04-07,Tulip Bundle,5,399,1995
2024-04-07,Mixed Bouquet,2,699,1398
2024-04-07,Orchid Stem,8,250,2000
2024-04-07,Baby’s Breath,9,120,1080
2024-04-08,Red Roses Bouquet,5,899,4495
2024-04-08,Sunflowers,15,150,2250
2024-04-08,Tulip Bundle,5,399,1995
2024-04-08,Mixed Bouquet,10,699,6990
2024-04-08,Orchid Stem,5,250,1250
2024-04-08,Baby’s Breath,9,120,1080
2024-04-09,Red Roses Bouquet,7,899,6293
2024-04-09,Sunflowers,7,150,1050
2024-04-09,Tulip Bundle,13,399,5187
2024-04-09,Mixed Bouquet,5,699,3495
2024-04-09,Orchid Stem,8,250,2000
2024-04-09,Baby’s Breath,10,120,1200
2024-04-10,Red Roses Bouquet,12,899,10788
2024-04-10,Sunflowers,8,150,1200
2024-04-10,Tulip Bundle,8,399,3192
2024-04-10,Mixed Bouquet,7,699,4893
2024-04-10,Orchid Stem,13,250,3250
2024-04-10,Baby’s Breath,4,120,480
2024-04-11,Red Roses Bouquet,12,899,10788
2024-04-11,Sunflowers,7,150,1050
2024-04-11,Tulip Bundle,11,399,4389
2024-04-11,Mixed Bouquet,12,699,8388
